rank,protein,degree,degree_norm,pagerank_norm,betweenness_norm,rwr_norm,composite_score,is_seed_gene
377,ATP4A,25,0.4,0.49636,0.10315,0.06017,0.2506,False
378,REL,26,0.41667,0.35413,0.05282,0.20225,0.25009,False
379,EGFR,20,0.31667,0.314,0.19881,0.19328,0.24911,False
380,NOC3L,25,0.4,0.53282,0.05445,0.05194,0.24892,False
381,AP3D1,25,0.4,0.51352,0.03029,0.07931,0.24787,False
382,SKP2,25,0.4,0.42848,0.08165,0.12026,0.24697,False
383,CCR6,26,0.41667,0.37454,0.02074,0.19369,0.24681,False
384,IRF4,25,0.4,0.31986,0.02121,0.24521,0.24602,False
385,LSM6,25,0.4,0.47101,0.02884,0.11049,0.24574,False
386,SLC29A3,6,0.08333,0.24421,0.00897,0.45018,0.24512,True
387,KANK2,3,0.03333,0.16883,0.0,0.54054,0.24484,True
388,CARD9,25,0.4,0.35594,0.03133,0.20492,0.24477,False
389,PDE3A,26,0.41667,0.44975,0.0238,0.1206,0.24439,False
390,KCND2,25,0.4,0.42539,0.05036,0.13203,0.2439,False
391,GRIN2A,26,0.41667,0.44304,0.04145,0.11476,0.24387,False
392,MICB,21,0.33333,0.4365,0.03123,0.16036,0.24332,False
393,IFNGR2,25,0.4,0.25887,0.14495,0.2189,0.24326,False
394,RHOA,13,0.2,0.20504,0.15494,0.3442,0.24297,False
395,RPLP1,25,0.4,0.44015,0.02103,0.13311,0.24284,False
396,CCL20,25,0.4,0.3643,0.07735,0.16548,0.24268,False
397,PRKCQ,25,0.4,0.33673,0.03143,0.21522,0.24263,False
398,RPS10,26,0.41667,0.46207,0.00789,0.11385,0.24255,False
399,PDE2A,25,0.4,0.47211,0.0086,0.11091,0.24217,False
400,KCNA2,26,0.41667,0.40584,0.03647,0.14422,0.24202,False
401,DCLRE1B,19,0.3,0.47315,0.04515,0.13124,0.24191,False
402,NFKBIA,25,0.4,0.37129,0.02975,0.18146,0.24085,False
403,LTA,26,0.41667,0.28285,0.07259,0.22363,0.24014,False
404,NR1H2,22,0.35,0.42716,0.07525,0.12683,0.24009,False
405,RGS1,17,0.26667,0.28349,0.01719,0.31857,0.23999,True
406,NUP160,25,0.4,0.43783,0.0205,0.12542,0.23934,False
407,PDE4B,25,0.4,0.44036,0.07155,0.09358,0.23917,False
408,RASGRP3,14,0.21667,0.25245,0.01924,0.36124,0.23852,True
409,SUOX,19,0.3,0.54735,0.03802,0.05956,0.23766,False
410,NUP93,25,0.4,0.4412,0.00197,0.12646,0.23701,False
411,GRIN3A,25,0.4,0.48221,0.03628,0.07137,0.2369,False
412,CSF2RB,25,0.4,0.29726,0.02074,0.23707,0.2363,False
413,CDK4,25,0.4,0.41349,0.01381,0.13756,0.23496,False
414,CXCL13,26,0.41667,0.34229,0.01333,0.19163,0.23492,False
415,XCR1,25,0.4,0.33438,0.0909,0.16048,0.23466,False
416,RXRG,22,0.35,0.40093,0.07519,0.13357,0.23457,False
417,PTGER4,23,0.36667,0.37231,0.09225,0.14119,0.23456,False
418,MDN1,25,0.4,0.46561,0.0876,0.04953,0.23454,False
419,CDKN2B,25,0.4,0.36959,0.07262,0.13916,0.23411,False
420,ELMO2,21,0.33333,0.44992,0.04214,0.11508,0.23368,False
421,CTNNB1,17,0.26667,0.33571,0.11817,0.1958,0.23288,False
422,TNFRSF13B,17,0.26667,0.19928,0.02019,0.36688,0.23223,True
423,KLF2,17,0.26667,0.2259,0.08343,0.30729,0.23201,True
424,GABRB1,22,0.35,0.39893,0.02654,0.15445,0.23154,False
425,CDKN1C,25,0.4,0.39527,0.04084,0.12795,0.23153,False
426,IL1F10,14,0.21667,0.278,0.01495,0.32099,0.23124,True
427,TSPO,19,0.3,0.53644,0.02738,0.0566,0.23122,False
428,IL4,25,0.4,0.25113,0.00371,0.27045,0.23074,False
429,CD6,22,0.35,0.35476,0.05489,0.17291,0.23042,False
430,KCNQ2,26,0.41667,0.41814,0.01204,0.11078,0.22912,False
431,GPR78,2,0.01667,0.12364,0.0,0.54054,0.22878,True
432,PLAC8,2,0.01667,0.12364,0.0,0.54054,0.22878,True
433,PTPRN2,2,0.01667,0.12364,1e-05,0.54054,0.22878,True
434,WDR37,2,0.01667,0.12364,0.0,0.54054,0.22878,True
435,JUN,22,0.35,0.31361,0.04892,0.20663,0.22869,False
436,COPB1,26,0.41667,0.46335,0.0149,0.06515,0.22729,False
437,PDE4D,25,0.4,0.43023,0.01859,0.09783,0.22703,False
438,DUSP22,10,0.15,0.25051,0.01667,0.35957,0.22684,True
439,OSMR,25,0.4,0.29471,0.03153,0.20578,0.22674,False
440,COPB2,25,0.4,0.44499,0.0523,0.06497,0.2267,False
441,IL17A,26,0.41667,0.27934,0.00073,0.22668,0.22578,False
442,PDE4A,25,0.4,0.409,0.02948,0.10547,0.22551,False
443,COPG1,25,0.4,0.40201,0.12904,0.05403,0.22532,False
444,FOSL2,23,0.36667,0.36217,0.04594,0.1482,0.22471,False
445,PPAN,25,0.4,0.48525,0.01509,0.04515,0.22439,False
446,FDX2,25,0.4,0.44902,0.04529,0.05872,0.22432,False
447,BLOC1S5,16,0.25,0.50427,0.04946,0.07066,0.2234,False
448,KCNA5,23,0.36667,0.32241,0.17233,0.10525,0.22303,False
449,PTPN12,20,0.31667,0.33624,0.05114,0.18273,0.22256,False
450,KCNQ5,25,0.4,0.40459,0.0596,0.08294,0.22233,False
451,IL17F,26,0.41667,0.28392,0.01501,0.20227,0.22147,False
452,TREX1,8,0.11667,0.22092,0.05733,0.35976,0.22116,True
453,CBFA2T3,20,0.31667,0.40371,0.02101,0.13756,0.22096,False
454,IL17RA,25,0.4,0.31935,0.01268,0.17807,0.22067,False
455,GRIN1,25,0.4,0.40207,0.00904,0.10916,0.22063,False
456,COPA,25,0.4,0.435,0.06024,0.05035,0.22017,False
457,RRP15,25,0.4,0.46489,0.01352,0.0501,0.2197,False
458,GRIN2C,25,0.4,0.41975,0.02467,0.08187,0.21952,False
459,COL15A1,18,0.28333,0.43521,0.01377,0.1244,0.21936,False
460,MANBA,5,0.06667,0.20277,0.00718,0.41756,0.21841,True
461,MLN,19,0.3,0.5155,0.01766,0.04127,0.21763,False
462,IL23A,25,0.4,0.23321,0.00798,0.24452,0.21714,False
463,EPM2A,16,0.25,0.50186,0.06957,0.04135,0.21644,False
464,ARID5B,7,0.1,0.20677,0.04641,0.36413,0.21376,True
465,TP63,19,0.3,0.43281,0.02856,0.09319,0.21317,False
466,IPO7,18,0.28333,0.38588,0.11316,0.09176,0.21301,False
467,SPIN3,1,0.0,0.07846,0.0,0.54054,0.21273,True
468,ARHGAP15,1,0.0,0.07846,0.0,0.54054,0.21273,True
469,ETV3,1,0.0,0.07846,0.0,0.54054,0.21273,True
470,TOX2,1,0.0,0.07846,0.0,0.54054,0.21273,True
